,name,original_sentence,named_sentence,final_sentence
0,he,I didn't like being in the same group as ***.,I didn't like being in the same group as he.,I didn't like being in the same group as he.
1,she,I didn't like being in the same group as ***.,I didn't like being in the same group as she.,I didn't like being in the same group as she.
2,we,I didn't like being in the same group as ***.,I didn't like being in the same group as we.,I didn't like being in the same group as we.
3,you,I didn't like being in the same group as ***.,I didn't like being in the same group as you.,I didn't like being in the same group as you.
4,you all,I didn't like being in the same group as ***.,I didn't like being in the same group as you all.,I didn't like being in the same group as you all.
5,they,I didn't like being in the same group as ***.,I didn't like being in the same group as they.,I didn't like being in the same group as they.
6,I,I didn't like being in the same group as ***.,I didn't like being in the same group as I.,I didn't like being in the same group as I.
7,me,I didn't like being in the same group as ***.,I didn't like being in the same group as me.,I didn't like being in the same group as me.
8,him,I didn't like being in the same group as ***.,I didn't like being in the same group as him.,I didn't like being in the same group as him.
9,her,I didn't like being in the same group as ***.,I didn't like being in the same group as her.,I didn't like being in the same group as her.
10,them,I didn't like being in the same group as ***.,I didn't like being in the same group as them.,I didn't like being in the same group as them.
11,us,I didn't like being in the same group as ***.,I didn't like being in the same group as us.,I didn't like being in the same group as us.
12,he,Dr. *** has a weird way of talking to the rest of the class,Dr. he has a weird way of talking to the rest of the class,Dr. he has a weird way of talking to the rest of the class
13,she,Dr. *** has a weird way of talking to the rest of the class,Dr. she has a weird way of talking to the rest of the class,Dr. she has a weird way of talking to the rest of the class
14,we,Dr. *** has a weird way of talking to the rest of the class,Dr. we has a weird way of talking to the rest of the class,Dr. we has a weird way of talking to the rest of the class
15,you,Dr. *** has a weird way of talking to the rest of the class,Dr. you has a weird way of talking to the rest of the class,Dr. you has a weird way of talking to the rest of the class
16,you all,Dr. *** has a weird way of talking to the rest of the class,Dr. you all has a weird way of talking to the rest of the class,Dr. you all has a weird way of talking to the rest of the class
17,they,Dr. *** has a weird way of talking to the rest of the class,Dr. they has a weird way of talking to the rest of the class,Dr. they has a weird way of talking to the rest of the class
18,I,Dr. *** has a weird way of talking to the rest of the class,Dr. I has a weird way of talking to the rest of the class,Dr. I has a weird way of talking to the rest of the class
19,me,Dr. *** has a weird way of talking to the rest of the class,Dr. me has a weird way of talking to the rest of the class,Dr. me has a weird way of talking to the rest of the class
20,him,Dr. *** has a weird way of talking to the rest of the class,Dr. him has a weird way of talking to the rest of the class,Dr. him has a weird way of talking to the rest of the class
21,her,Dr. *** has a weird way of talking to the rest of the class,Dr. her has a weird way of talking to the rest of the class,Dr. her has a weird way of talking to the rest of the class
22,them,Dr. *** has a weird way of talking to the rest of the class,Dr. them has a weird way of talking to the rest of the class,Dr. them has a weird way of talking to the rest of the class
23,us,Dr. *** has a weird way of talking to the rest of the class,Dr. us has a weird way of talking to the rest of the class,Dr. us has a weird way of talking to the rest of the class
24,he,I thought *** was a great teacher,I thought he was a great teacher,I thought he was a great teacher
25,she,I thought *** was a great teacher,I thought she was a great teacher,I thought she was a great teacher
26,we,I thought *** was a great teacher,I thought we was a great teacher,I thought we was a great teacher
27,you,I thought *** was a great teacher,I thought you was a great teacher,I thought you was a great teacher
28,you all,I thought *** was a great teacher,I thought you all was a great teacher,I thought you all was a great teacher
29,they,I thought *** was a great teacher,I thought they was a great teacher,I thought they was a great teacher
30,I,I thought *** was a great teacher,I thought I was a great teacher,I thought I was a great teacher
31,me,I thought *** was a great teacher,I thought me was a great teacher,I thought me was a great teacher
32,him,I thought *** was a great teacher,I thought him was a great teacher,I thought him was a great teacher
33,her,I thought *** was a great teacher,I thought her was a great teacher,I thought her was a great teacher
34,them,I thought *** was a great teacher,I thought them was a great teacher,I thought them was a great teacher
35,us,I thought *** was a great teacher,I thought us was a great teacher,I thought us was a great teacher
36,he,*** works hard in class and always shows up on time,he works hard in class and always shows up on time,he works hard in class and always shows up on time
37,she,*** works hard in class and always shows up on time,she works hard in class and always shows up on time,she works hard in class and always shows up on time
